Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
08/10/2022,Marseille,Ajaccio,1,2,A,1,1,D,10,6,2,1,17,18,11,2,0,2,0,0,22-23
08/10/2022,Reims,Paris SG,0,0,D,0,0,D,24,11,4,3,20,12,7,3,3,5,0,1,22-23
09/10/2022,Montpellier,Monaco,0,2,A,0,1,A,11,11,1,7,13,16,7,2,2,3,0,0,22-23
09/10/2022,Angers,Strasbourg,2,3,A,1,2,A,14,15,8,7,16,14,6,6,1,1,0,0,22-23
09/10/2022,Brest,Lorient,1,2,A,1,1,D,12,14,4,5,14,13,7,8,3,1,0,0,22-23
09/10/2022,Clermont,Auxerre,2,1,H,0,0,D,10,14,6,5,4,17,4,4,0,0,0,0,22-23
09/10/2022,Nice,Troyes,3,2,H,2,0,H,14,17,6,6,8,9,5,5,1,1,0,0,22-23
09/10/2022,Rennes,Nantes,3,0,H,1,0,H,14,8,4,3,13,14,4,3,1,0,1,0,22-23
09/10/2022,Lille,Lens,1,0,H,1,0,H,12,10,6,3,19,15,5,9,3,5,0,0,22-23
14/10/2022,Strasbourg,Lille,0,3,A,0,1,A,12,10,1,7,12,17,3,0,3,1,0,0,22-23
15/10/2022,Lorient,Reims,0,0,D,0,0,D,10,7,3,2,10,17,2,2,1,3,0,2,22-23
15/10/2022,Lens,Montpellier,1,0,H,0,0,D,17,8,5,1,12,10,4,5,2,2,0,0,22-23
16/10/2022,Toulouse,Angers,3,2,H,2,1,H,14,13,7,6,12,15,2,8,3,2,0,0,22-23
16/10/2022,Auxerre,Nice,1,1,D,1,1,D,11,9,3,2,11,3,2,6,0,0,0,0,22-23
16/10/2022,Nantes,Brest,4,1,H,2,1,H,17,11,6,2,12,10,7,5,0,2,0,0,22-23
16/10/2022,Rennes,Lyon,3,2,H,1,1,D,14,7,5,5,13,14,3,2,2,2,0,0,22-23
16/10/2022,Troyes,Ajaccio,1,1,D,0,0,D,9,15,2,7,8,14,3,5,2,1,0,0,22-23
16/10/2022,Monaco,Clermont,1,1,D,1,0,H,6,21,4,7,8,11,3,4,2,4,1,0,22-23
16/10/2022,Paris SG,Marseille,1,0,H,1,0,H,23,18,8,7,9,16,7,6,1,0,0,1,22-23
21/10/2022,Ajaccio,Paris SG,0,3,A,0,1,A,8,11,1,6,13,13,3,8,0,1,0,0,22-23
22/10/2022,Montpellier,Lyon,1,2,A,0,1,A,10,21,4,10,9,18,4,7,2,2,1,1,22-23
22/10/2022,Marseille,Lens,0,1,A,0,0,D,13,12,3,4,19,20,7,3,3,3,0,0,22-23
23/10/2022,Angers,Rennes,1,2,A,0,1,A,7,14,2,5,9,11,5,6,2,2,0,0,22-23
23/10/2022,Clermont,Brest,1,3,A,0,1,A,14,19,4,11,10,17,7,4,4,1,0,0,22-23
23/10/2022,Reims,Auxerre,2,1,H,1,1,D,19,10,10,2,13,12,8,2,4,0,0,0,22-23
23/10/2022,Toulouse,Strasbourg,2,2,D,1,0,H,17,11,6,5,14,8,6,6,2,1,1,0,22-23
23/10/2022,Troyes,Lorient,2,2,D,1,0,H,13,21,4,5,8,9,3,6,2,0,0,0,22-23
23/10/2022,Nice,Nantes,1,1,D,0,0,D,11,11,5,4,9,9,7,3,3,4,0,2,22-23
23/10/2022,Lille,Monaco,4,3,H,2,2,D,20,9,7,6,8,10,6,6,1,2,0,0,22-23
28/10/2022,Lens,Toulouse,3,0,H,0,0,D,13,9,8,0,12,13,6,8,2,1,0,0,22-23
29/10/2022,Paris SG,Troyes,4,3,H,1,1,D,19,16,11,5,9,12,8,4,0,3,0,0,22-23
29/10/2022,Strasbourg,Marseille,2,2,D,0,2,A,12,13,5,5,14,11,3,0,0,2,0,0,22-23
30/10/2022,Auxerre,Ajaccio,1,0,H,1,0,H,18,5,5,1,13,12,5,5,1,1,1,1,22-23
30/10/2022,Brest,Reims,0,0,D,0,0,D,12,11,4,3,15,13,5,5,1,1,0,0,22-23
30/10/2022,Monaco,Angers,2,0,H,0,0,D,8,8,5,4,18,15,7,0,3,3,0,0,22-23
30/10/2022,Nantes,Clermont,1,1,D,0,0,D,13,10,4,6,15,9,2,2,0,2,0,0,22-23
30/10/2022,Rennes,Montpellier,3,0,H,2,0,H,14,8,3,3,15,12,3,4,1,2,0,0,22-23
30/10/2022,Lorient,Nice,1,2,A,1,0,H,14,16,8,5,7,7,8,3,0,1,0,0,22-23
30/10/2022,Lyon,Lille,1,0,H,0,0,D,6,15,3,5,11,15,3,6,3,1,0,0,22-23
04/11/2022,Troyes,Auxerre,1,1,D,1,0,H,21,13,6,2,9,10,10,5,2,0,0,0,22-23
05/11/2022,Ajaccio,Strasbourg,4,2,H,4,2,H,12,9,7,5,15,20,4,3,0,4,1,0,22-23
05/11/2022,Angers,Lens,1,2,A,0,1,A,6,12,3,4,16,6,3,4,1,2,0,0,22-23
06/11/2022,Lorient,Paris SG,1,2,A,0,1,A,9,15,2,8,10,9,5,8,1,1,0,0,22-23
06/11/2022,Clermont,Montpellier,1,1,D,0,1,A,16,7,7,3,14,17,5,1,1,2,0,0,22-23
06/11/2022,Nice,Brest,1,0,H,0,0,D,14,12,9,2,6,11,2,6,1,1,0,0,22-23
06/11/2022,Reims,Nantes,1,0,H,0,0,D,22,15,9,5,7,13,10,4,2,4,0,1,22-23
06/11/2022,Toulouse,Monaco,0,2,A,0,0,D,13,24,5,10,9,11,7,6,0,1,0,0,22-23
06/11/2022,Lille,Rennes,1,1,D,1,0,H,19,3,7,2,9,14,6,2,4,1,0,1,22-23
06/11/2022,Marseille,Lyon,1,0,H,1,0,H,6,11,2,4,9,13,6,4,0,1,0,0,22-23
11/11/2022,Lyon,Nice,1,1,D,0,1,A,9,13,3,3,7,7,3,4,1,0,0,0,22-23
12/11/2022,Lens,Clermont,2,1,H,0,1,A,16,5,3,2,19,17,5,3,1,3,0,0,22-23
12/11/2022,Rennes,Toulouse,2,1,H,1,0,H,16,10,8,4,9,10,4,4,0,0,0,0,22-23
13/11/2022,Paris SG,Auxerre,5,0,H,1,0,H,9,9,6,3,5,7,3,7,0,0,0,0,22-23
13/11/2022,Brest,Troyes,2,1,H,0,0,D,15,8,5,2,13,12,5,5,3,2,0,1,22-23
13/11/2022,Lille,Angers,1,0,H,1,0,H,9,8,4,2,18,12,2,6,3,1,1,0,22-23
13/11/2022,Montpellier,Reims,1,1,D,0,0,D,16,17,8,4,15,15,11,7,2,2,0,0,22-23
13/11/2022,Nantes,Ajaccio,2,2,D,0,0,D,15,13,5,4,16,17,9,6,3,3,0,0,22-23
13/11/2022,Strasbourg,Lorient,1,1,D,0,1,A,20,6,4,2,9,9,4,2,4,1,0,0,22-23
13/11/2022,Monaco,Marseille,2,3,A,1,1,D,11,11,6,3,17,9,5,4,3,1,0,0,22-23
28/12/2022,Ajaccio,Angers,1,0,H,1,0,H,11,14,3,4,13,13,3,5,1,0,0,0,22-23
28/12/2022,Troyes,Nantes,0,0,D,0,0,D,6,19,2,5,9,13,4,4,0,2,0,0,22-23
28/12/2022,Auxerre,Monaco,2,3,A,1,1,D,11,6,6,3,9,15,1,3,1,0,0,0,22-23
28/12/2022,Clermont,Lille,0,2,A,0,0,D,9,14,3,3,9,17,3,3,4,2,1,0,22-23
28/12/2022,Brest,Lyon,2,4,A,1,3,A,17,17,5,10,8,19,6,6,2,2,0,0,22-23
28/12/2022,Paris SG,Strasbourg,2,1,H,1,0,H,9,10,6,3,6,12,8,3,4,1,1,0,22-23
29/12/2022,Lorient,Montpellier,0,2,A,0,2,A,12,14,4,6,15,15,5,2,3,4,0,0,22-23
29/12/2022,Reims,Rennes,3,1,H,2,1,H,10,11,4,5,8,8,4,6,2,2,0,0,22-23
29/12/2022,Marseille,Toulouse,6,1,H,2,0,H,13,10,7,6,14,8,1,6,1,2,0,0,22-23
29/12/2022,Nice,Lens,0,0,D,0,0,D,9,10,5,2,11,18,4,6,2,3,0,0,22-23
01/01/2023,Angers,Lorient,1,2,A,1,0,H,14,10,6,5,16,9,7,7,3,0,0,0,22-23
01/01/2023,Monaco,Brest,1,0,H,0,0,D,17,13,5,6,23,14,7,5,3,4,0,0,22-23
01/01/2023,Nantes,Auxerre,1,0,H,0,0,D,10,14,3,6,10,19,3,7,1,2,0,0,22-23
01/01/2023,Toulouse,Ajaccio,2,0,H,0,0,D,11,1,4,0,15,15,5,2,3,1,0,0,22-23
01/01/2023,Lyon,Clermont,0,1,A,0,0,D,13,13,2,3,21,13,7,4,1,3,0,0,22-23
01/01/2023,Lens,Paris SG,3,1,H,2,1,H,10,16,4,6,16,12,3,7,2,3,0,0,22-23
